artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Ricky Martin,She Bangs - English Version,280626,FALSO,2000,60,630,950,1,-4.012,1,806,915,6.51e-06,373,858,143.866,"pop, latin"
Lifehouse,Hanging By A Moment,216360,FALSO,2000,61,537,858,1,-4.903,1,349,966,0.0,812,502,124.599,"pop, rock, metal"
All Saints,Pure Shores,268746,FALSO,2000,62,631,664,6,-9.197,1,242,498,42,696,407,100.618,pop
Sonique,It Feels So Good,240866,FALSO,2000,62,634,677,5,-7.278,0,304,117,103,126,558,135.012,pop
Mary Mary,Shackles (Praise You),198346,FALSO,2000,64,779,834,7,-2.773,1,162,343,0.0,886,800,100.460,R&B
*NSYNC,Bye Bye Bye,200560,FALSO,2000,65,614,928,8,-4.806,0,516,408,104,845,879,172.656,pop
Baha Men,Who Let The Dogs Out,198400,FALSO,2000,65,869,887,0,-4.505,1,993,605,0.0,148,784,129.221,R&B
Britney Spears,Lucky,206226,FALSO,2000,65,765,791,8,-5.707,1,317,262,154,669,966,95.026,pop
Joe,I Wanna Know,296693,FALSO,2000,65,725,487,8,-5.959,0,368,0.26,1.09e-05,431,599,136.086,"pop, R&B"
Toni Braxton,He Wasn't Man Enough,261933,FALSO,2000,66,739,947,11,-1.916,0,411,916,3.14e-05,326,766,88.009,"pop, R&B"
Lenny Kravitz,Again,231666,FALSO,2000,68,551,804,2,-5.218,1,271,148,4.33e-05,105,789,79.166,"rock, pop"
Nelly,Country Grammar (Hot Shit),287000,VERDADERO,2000,68,865,664,2,-6.822,1,108,689,0.0,142,565,162.831,"hip hop, pop, R&B"
Robbie Williams,Rock DJ,258560,FALSO,2000,68,708,772,7,-4.264,1,322,267,0.0,467,861,103.035,"pop, rock"
The Corrs,Breathless,207506,FALSO,2000,68,607,820,11,-7.754,1,597,541,6.8e-05,269,768,126.988,"pop, Folk/Acoustic"
Westlife,My Love,231760,FALSO,2000,68,491,593,0,-5.975,1,255,98,0.0,257,328,144.142,pop
Enya,Only Time,218546,FALSO,2000,69,418,249,3,-13.744,1,301,841,661,112,213,82.803,"World/Traditional, Folk/Acoustic"
Backstreet Boys,Shape of My Heart,230093,FALSO,2000,70,575,786,9,-4.353,1,296,252,0.0,159,518,96.102,pop
Craig David,7 Days,235133,FALSO,2000,70,659,812,4,-7.499,0,487,0.23,0.0,951,888,83.014,"hip hop, pop, R&B"
Limp Bizkit,Take A Look Around,321040,FALSO,2000,72,425,852,11,-5.607,1,460,175,306,935,512,101.968,metal
Alice Deejay,Better Off Alone,214883,FALSO,2000,73,671,880,8,-6.149,0,552,181,691,285,782,136.953,pop
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,VERDADERO,2000,73,603,933,1,-3.358,1,171,591,0.0,206,709,96.306,metal
Nelly,Ride Wit Me,291781,VERDADERO,2000,75,619,700,7,-6.49,1,478,616,1.8e-06,244,722,101.875,"hip hop, pop, R&B"
Shaggy,It Wasn't Me,227600,FALSO,2000,76,853,606,0,-4.596,1,713,561,0.0,313,654,94.759,"hip hop, pop"
Britney Spears,Oops!...I Did It Again,211160,FALSO,2000,77,751,834,1,-5.444,0,437,0.3,1.77e-05,355,894,95.053,pop
3 Doors Down,Kryptonite,233933,FALSO,2000,78,545,865,11,-5.708,0,286,664,1.1e-05,168,543,99.009,"pop, rock, metal"
Bon Jovi,It's My Life,224493,FALSO,2000,78,551,913,0,-4.063,0,466,263,1.35e-05,347,544,119.992,"rock, metal"
Outkast,Ms. Jackson,270506,VERDADERO,2000,82,843,806,4,-5.946,0,269,143,0.0,771,613,94.948,"hip hop, pop"
Eminem,Stan,404106,VERDADERO,2000,83,556,768,6,-4.325,0,238,371,2.34e-06,518,507,80.063,hip hop
Linkin Park,In the End,216880,FALSO,2000,83,556,864,3,-5.87,0,584,958,0.0,209,400,105.143,"rock, metal"
Linkin Park,In the End,216880,FALSO,2000,83,949,864,3,-5.87,0,584,958,0.0,209,400,105.143,"rock, metal"
Eminem,The Real Slim Shady,284200,VERDADERO,2000,86,713,661,5,-4.244,0,572,302,0.0,454,760,104.504,hip hop
Basement Jaxx,Romeo,217493,FALSO,2001,0,707,829,2,-4.171,1,491,769,203,139,844,126.853,"pop, Dance/Electronic"
Jennifer Lopez,Ain't It Funny,246160,FALSO,2001,0,705,869,5,-4.525,0,481,104,121,813,621,99.825,"hip hop, pop, R&B"
No Doubt,Hey Baby,207040,FALSO,2001,24,771,872,11,-3.557,0,125,602,0.0,228,746,93.630,"rock, pop"
No Doubt,Hella Good,242586,FALSO,2001,26,729,665,8,-3.954,1,350,135,123,903,844,115.142,"rock, pop"
No Doubt,Underneath It All,302720,FALSO,2001,27,412,731,4,-4.822,1,684,232,1.57e-06,391,839,138.202,"rock, pop"
Mary J. Blige,Rainy Dayz,276373,FALSO,2001,32,443,667,6,-6.997,1,229,195,0.0,305,533,68.942,"pop, R&B"
Default,Wasting My Time,268693,FALSO,2001,40,721,769,2,-5.529,1,312,138,0.0,677,170,147.973,"rock, pop, metal"
Mariah Carey,Loverboy,229173,FALSO,2001,42,657,790,1,-4.125,1,124,183,0.0,100,821,103.141,"pop, R&B"
Jessica Simpson,Irresistible,194026,FALSO,2001,43,699,965,8,-2.771,0,556,285,8.84e-05,552,669,93.013,"pop, R&B"
*NSYNC,Gone,292000,FALSO,2001,45,783,403,11,-8.564,0,614,421,0.0,126,500,113.922,pop
Big Brovaz,Nu Flow,201480,FALSO,2001,45,631,726,7,-8.718,1,106,903,2.53e-06,363,784,148.062,pop
Five,Let's Dance - Radio Edit,218626,FALSO,2001,47,771,821,4,-7.853,0,867,876,247,293,547,118.007,pop
Janet Jackson,Doesn't Really Matter,265026,FALSO,2001,47,469,796,5,-3.081,0,760,993,278,981,801,99.316,"pop, R&B"
Robbie Williams,Eternity,302760,FALSO,2001,48,969,316,10,-8.106,1,265,504,6.04e-06,919,199,77.967,"pop, rock"
Missy Elliott,4 My People (feat. Eve),289373,VERDADERO,2001,49,745,701,1,-7.503,1,156,140,161,201,905,121.392,"hip hop, pop, R&B"
*NSYNC,Girlfriend,253600,FALSO,2001,50,682,807,0,-5.191,0,884,887,1.49e-05,283,858,93.967,pop
Fragma,Everytime You Need Me - Radio Version,213346,FALSO,2001,50,814,917,11,-5.459,0,318,150,676,340,790,137.029,"pop, Dance/Electronic"
Outkast,The Whole World (feat. Killer Mike),295346,VERDADERO,2001,51,607,852,2,-6.176,1,401,958,1.32e-06,288,717,184.682,"hip hop, pop"
So Solid Crew,21 Seconds,302826,VERDADERO,2001,51,652,637,1,-11.072,1,241,191,0.0,124,818,137.030,Dance/Electronic
Alicia Keys,A Woman's Worth,303333,FALSO,2001,52,519,410,4,-8.323,0,158,333,0.0,640,495,75.090,"pop, R&B"
A1,Caught in the Middle,206466,FALSO,2001,53,489,874,5,-5.122,1,340,524,0.0,243,572,96.072,pop
